,POT,TRT,REP,SPP,LIT,INS,ROOT01,TOTBIOM01,FLOWTIME,ABOVETOT02,Asctu,Bucda,Andge,Elyca,Astaz,Sornu,Koecr,Liaas,Panvi,Eupco,Corpa,Achmi,Solne,Anecy,Bougr,Schsc,Rudhi,Spocr,fdis,fgr,mpd,pdtot
71,71,20,3,16,0,0,2.69,37.309,2.95,30.438,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0.2162530656,10,250.40881865,878.654687
72,72,1,2,1,1,1,0.12,49.32,2.35,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,1,NA,188.283244
73,73,3,4,4,1,1,2.5,84.51,1.716666667,21.88,0,0,0,0,0,4,0,0,0,4,0,0,4,0,0,4,0,0,0.137169826,3,291.0263398333,496.51254
74,74,6,5,1,1,0,1.18,33.52,1.216666667,38.57,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,1,NA,188.283245
75,75,3,5,4,1,1,1.08,49.91,1.816666667,33.71,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,0,0,0.1235686668,3,288.9743773333,541.739438
76,76,2,3,2,1,1,0.72,62.21,1.766666667,37.401,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0.1785363592,2,376.566486,376.566486
77,77,4,2,8,1,1,0.69,79.67,2.216666667,18.21,2,0,0,0,0,2,2,0,0,0,0,0,2,2,2,2,2,0,0.1758658484,5,272.2869863571,684.723783
78,78,9,1,8,1,0,1.14,89.515,2.033333333,25.124,0,2,2,2,2,2,0,2,2,0,0,0,0,2,0,0,0,0,0.2621031483,7,231.71925525,577.03458
79,79,11,3,1,0,1,0.98,98.7,1.783333333,28.62,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,188.283243
80,80,13,3,4,0,1,2.33,68.15,1.566666667,32.772,0,0,4,4,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0.2124757729,4,226.5019881667,443.458905
81,81,17,1,2,0,0,1.34,36.24,1.75,24.2,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0.0458777838,1,4.522459,190.544474
83,83,4,5,8,1,1,1.05,81.58,1.016666667,2.8,0,2,0,2,2,2,0,0,2,0,0,0,0,2,2,0,0,2,0.226877582,7,197.0717535714,598.689269
84,84,8,2,4,1,0,0.57,73.28,0.85,28.28,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,4,0.1780201497,4,254.5086396667,386.959433
85,85,15,3,16,0,1,2.94,66.518,1.8,35.2,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0.2215133906,10,249.759300625,877.475739
86,86,13,2,4,0,1,0.71,84.76,1.866666667,29.16,0,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0.2417500961,4,25.8425256667,217.873002
87,87,11,2,1,0,1,2.14,46.77,1.766666667,38.52,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,1,NA,188.283243
88,88,8,4,4,1,0,1.22,47.55,2.4,38.96,0,0,0,0,0,0,0,0,4,0,4,4,0,0,0,0,0,4,0.2101109949,4,262.4690988333,410.840811
89,89,7,5,2,1,0,6.76,56.42,1.233333333,16.88,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0.1481307724,2,376.566486,376.566486
